recordId,sourceType,siteId,teamId,workerId,trade,taskStep,shiftType,recordDate,rawText,riskCategory,riskSubcategory,riskCategoryCode,riskSubcategoryCode,ontologyNodeId,judgmentTags,judgmentTagCodes,vectorTaskUnderstanding,vectorHazardRecognition,vectorSequenceUnderstanding,vectorRiskNormalization,vectorResponseCapability,linkedMetric,precursorSignal,recommendedAction,recommendedActionCode,reviewNeeded,reviewer,reviewNote,consensusStatus,consensusNote,round,status,qaStatus
2026-05-16-001,manual-note,SITE-A,TEAM-1,W001,철골,고소작업,day,2026-05-16,안전고리 체결 절차 미숙 작업원 동작,추락,안전고리,FALL,FALL.HARNESS,FALL-HARNESS-UNCONNECTED,위험 과소판단;작업 목적 미이해;시간압박;절차 미준수;검증 미실,J_RISK_UNDERESTIMATE;J_TASK_PURPOSE_UNCLEAR;J_TIME_PRESSURE;J_PROCEDURE_SKIP;J_SKIP_VERIFICATION,low,high,mid,mid,low,jobUnderstanding,Y,안전고리 체결 확인,검증 강화 필요,A001,Y,안전사,체결 절차 교육 필요,agreed,현장 경험도 고려 후 재단,R1,tagged,pass
2026-05-16-002,interview,SITE-A,TEAM-1,W002,철골,고소작업,day,2026-05-16,걸이점이 2.5m 간격인데 안전고리는 1.2m로 사용,추락,안전고리,FALL,FALL.HARNESS,FALL-HARNESS-ANCHOR_INVALID,원인 불명확;작업 목적 미이해;절차 미준수,J_CAUSE_UNCLEAR;J_TASK_PURPOSE_UNCLEAR;J_PROCEDURE_SKIP,low,high,mid,mid,mid,jobUnderstanding,Y,적절한 걸이점 지점 선정,간격 기준 재명시,A002,Y,감리,간격 기준 명시 필요,agreed,검증체계 필요성,R1,tagged,pass
2026-05-16-003,ocr-record,SITE-B,TEAM-2,W003,토공,굴착,day,2026-05-16,안전거리 1.5m 미확인 버텅 버팀대 미치 우려,붕괴,굴착,COLLAPSE,COLLAPSE.EXCAVATION,COLLAPSE-EXCAVATION-CAVE_IN,위험 미인지;지지 불량;규칙회피동작,J_RISK_UNAWARE;J_RULE_BYPASS,mid,high,high,high,mid,riskAssessmentUnderstanding,Y,버텅 경사 기준 적용,재설계 근처 안전,A003,N,,,pending,,R1,in-progress,
2026-05-16-004,education-response,,TEAM-1,,철골,,night,2026-05-16,안전고리는 체결하지만,아직도 불안감 있음,추락,안전고리,FALL,FALL.HARNESS,FALL-HARNESS-UNCONNECTED,위험 과소판단;위험 미인지;작업 목적 미이해,J_RISK_UNDERESTIMATE;J_RISK_UNAWARE;J_TASK_PURPOSE_UNCLEAR,low,high,low,low,low,riskAssessmentUnderstanding,suspected,안전고리 체결 재확인,재검증 강화,A001,Y,안전사,교육 효과 확인 필요,disputed,1팀 미흡다고 함 2팀 개선,R1,tagged,pass
2026-05-16-005,manual-note,SITE-C,TEAM-3,W005,전기,보양,day,2026-05-16,개구부 난간 설치 미설치 미끄럼 주의 표시 없음,낙하,개구부,FALL,FALL.OPENING,FALL-OPENING-UNPROTECTED,위험 미인지;절차 미준수,J_RISK_UNAWARE;J_PROCEDURE_SKIP,mid,high,mid,mid,low,riskAssessmentUnderstanding,Y,개구부 난간 또는 안전망 설치,접근 차단제 필수,A004,N,,,pending,,R1,not-started,
2026-05-16-006,interview,SITE-A,TEAM-1,W006,철골,주요업,day,2026-05-16,주요업 중량물 제어 신호원부터 업원이 작업을 수행,낙하,주요업,DROP,DROP.HOIST,DROP-HOIST-NO_EXCLUSION,위험 미인지;절차 미준수;신호 미공유,J_RISK_UNAWARE;J_PROCEDURE_SKIP;J_SIGNAL_NOT_SHARED,mid,high,high,mid,low,improvementExecution,Y,주요업 제어원 신호원 배치,작업구간 제어,A005,Y,안전사,신호수 교육 필요,agreed,표준 절차를 강화,R1,tagged,pass
2026-05-16-007,manual-note,SITE-B,,W007,토공,자재,day,2026-05-16,자재 고정 불량,로프 1줄로만 결속 상황,낙하,자재,DROP,DROP.STORAGE,DROP-STORAGE-UNSTABLE,원인 불명확;절차 미준수;규칙회피,J_CAUSE_UNCLEAR;J_PROCEDURE_SKIP;J_RULE_BYPASS,low,high,mid,mid,mid,proficiency,Y,결속 기준 준수,자재 쌓기 위험,A006,Y,감리,결속 기준 교육,agreed,객관적 기준 필요,R1,tagged,pass
2026-05-16-008,ocr-record,SITE-C,TEAM-2,,전기,,day,2026-05-16,전동반경 내 진입,전동응력 미확인,협착,설비,PINCH,PINCH.EQUIPMENT,PINCH-EQUIPMENT-SWING_RADIUS,위험 미인지;시각 감지 부족,J_RISK_UNAWARE,high,high,high,mid,low,riskAssessmentUnderstanding,suspected,전동반경 출입제한,시각도표 배치,A007,Y,안전사,시각지표 현장 운영,pending,,R1,in-progress,
2026-05-16-009,education-response,SITE-D,TEAM-4,W009,목재,거푸집,2026-05-16,한손으로 직접 지지하면서 박공나무라다가 낙임,협착,자재,PINCH,PINCH.MATERIAL,PINCH-MATERIAL-HAND_TRAP,위험 미인지;과신;절차 미준수,J_RISK_UNAWARE;J_OVERCONFIDENCE;J_PROCEDURE_SKIP,mid,high,mid,mid,low,proficiency,Y,보조도구 사용,재료 분리,A008,Y,감리,도구 사용 교육,disputed,1팀 불충분 2팀 개선,R1,consensusDone,pass
2026-05-16-010,manual-note,SITE-A,,W010,전기,배로,day,2026-05-16,차단기 체크 절차 목적 잠금 LOTO 미수행,감전,전선,ELECTRIC,ELECTRIC.LIVE,ELECTRIC-LIVE-NO_VERIFICATION,절차 미준수;검증 미실,J_PROCEDURE_SKIP;J_SKIP_VERIFICATION,low,high,low,low,low,proficiency,Y,LOTO 점검 무전 인정 절차,전기안전조치,A009,Y,안전사,절차 매뉴얼 배포,agreed,강제 조치 필요,R1,tagged,pass
2026-05-16-011,interview,SITE-B,TEAM-2,W011,철골,용접,day,2026-05-16,흄 배출 없음 주의 표지 누락 통풍 미확인,화상,흄,CHEMICAL,CHEMICAL.FUME,CHEMICAL-FUME-NO_VENTILATION,위험 미인지;작업 목적 미이해,J_RISK_UNAWARE;J_TASK_PURPOSE_UNCLEAR,high,high,mid,mid,mid,riskAssessmentUnderstanding,Y,유도식 환기 설치 호흡기 착용,환기기준점,A010,Y,안전사,환기 기준점 재설정,agreed,설비 개선 진행중,R1,in-progress,
2026-05-16-012,manual-note,SITE-C,TEAM-3,W012,건설,운반,day,2026-05-16,중량물 2명 운반 지면 요철 미확인,요통,운반,STRAIN,STRAIN.LIFTING,STRAIN-LIFTING-IMPROPER_FORM,작업 목적 미이해;신체 역학,J_TASK_PURPOSE_UNCLEAR;J_BODY_MECHANICS_ERROR,mid,high,mid,low,low,proficiency,Y,2인 운반 체크리스트,운반방법,A011,Y,감리,운반 방법 재교육,agreed,효과성 검증 필요,R1,tagged,pass
2026-05-16-013,ocr-record,SITE-A,TEAM-1,,철골,고소작업,day,2026-05-16,사다리 1.5m 위치 이동중 한손 작업,추락,사다리,FALL,FALL.LADDER,FALL-LADDER-ONE_HAND,위험 미인지;규칙 무시;하강동작,J_RISK_UNAWARE;J_RULE_BYPASS,high,high,high,high,mid,riskAssessmentUnderstanding,suspected,2인 지지 또는 벨트,사다리안전,A012,Y,안전사,사다리 작업 가이드,pending,,R1,in-progress,
2026-05-16-014,education-response,SITE-D,TEAM-4,W014,목재,슁팅,night,2026-05-16,머리 위 자재 통과시 헬멧 확인 안함 불안감,낙하,자재,DROP,DROP.MATERIAL,DROP-MATERIAL-OVERHEAD,위험 과소판단;주의력,J_RISK_UNDERESTIMATE;J_ATTENTION_LAPSE,mid,high,low,low,low,jobUnderstanding,Y,헬멧 점검 미리,낙하예방,A013,Y,감리,주의 신호음 도입,disputed,1팀 동의 필요,R1,tagged,pass
2026-05-16-015,manual-note,SITE-B,TEAM-2,,전기,배선,day,2026-05-16,케이블 배열 교차점 미정리 반복 낙상,낙하,케이블,DROP,DROP.CABLE,DROP-CABLE-TRIPPING,위험 미인지;작업환경,J_RISK_UNAWARE;J_ENVIRONMENT_POOR,high,high,mid,mid,low,improvementExecution,Y,카테넷 정리 기준,공간정리,A014,Y,안전사,작업 공간 점검표,agreed,주간 감시 필요,R1,in-progress,
2026-05-16-016,interview,SITE-C,TEAM-3,W016,건설,타설,day,2026-05-16,컨크리트 타설중 경계 표시 1m 미만 무너짐,붕괴,타설,COLLAPSE,COLLAPSE.CONCRETE,COLLAPSE-CONCRETE-FORM_FAILURE,위험 미인지;안전거리,J_RISK_UNAWARE;J_DISTANCE_ERROR,high,high,high,mid,mid,riskAssessmentUnderstanding,Y,3m 경계선 재설정,타설안전,A015,Y,감리,경계 기준 교육,agreed,매일 아침 점검,R1,tagged,pass
2026-05-16-017,ocr-record,SITE-A,TEAM-1,W017,철골,절단,day,2026-05-16,그라인더 보호대 느슨함 스파크 분산,화상,스파크,BURN,BURN.SPARK,BURN-SPARK-NO_GUARD,장비 상태 미점검;규칙,J_EQUIPMENT_NOT_CHECKED;J_RULE_BYPASS,mid,high,mid,mid,low,improvementExecution,Y,보호대 조임 점검,스파크차단,A016,Y,안전사,보호구 착용 확인,agreed,주기적 설비점검,R1,consensusDone,pass
2026-05-16-018,manual-note,SITE-D,TEAM-4,,목재,망치질,day,2026-05-16,손톱 튕김 미예상 보안경 미착용,자상,손톱,PUNCTURE,PUNCTURE.NAIL,PUNCTURE-NAIL-RICOCHET,위험 미인지;과신;보호구,J_RISK_UNAWARE;J_OVERCONFIDENCE;J_NO_PPE,low,high,low,low,low,proficiency,Y,50cm 이상 거리 또는 클립,튕김차단,A017,Y,감리,단순화 도구 재평가,disputed,2팀 의견 수집 필요,R1,tagged,pass
2026-05-16-019,interview,SITE-B,,W019,전기,점검,night,2026-05-16,전기실 접근 후 문 열린채 작업 누전,감전,접지,ELECTRIC,ELECTRIC.GROUND,ELECTRIC-GROUND-NO_LOCKOUT,절차 미준수;인정 실패,J_PROCEDURE_INCOMPLETE;J_VERIFICATION_INCOMPLETE,mid,high,mid,mid,low,riskAssessmentUnderstanding,suspected,접근 제어 버튼 2인확인,전기안전,A018,Y,안전사,전기실 접근 매뉴얼,pending,,R1,in-progress,
2026-05-16-020,manual-note,SITE-C,TEAM-3,W020,건설,철거,day,2026-05-16,구조물 붕괴 신호음 미감지 안전거리,붕괴,구조,COLLAPSE,COLLAPSE.STRUCTURE,COLLAPSE-STRUCTURE-SIGNAL_MISS,위험 미인지;청각,J_RISK_UNAWARE;J_ATTENTION_LAPSE,high,high,high,high,mid,riskAssessmentUnderstanding,Y,경고음 주기 단축 시각신호,붕괴예방,A019,Y,안전사,경고 신호 통합 기준,agreed,야간 추가 감시,R1,tagged,pass
